CODE,DESCRIPTION,FUNCTIONAL GROUP,TAU_STRICT,TAU_RELATIVE,TAU_CATEGORY
PSA_PSA,Psammocora,HC,0,1,
RHI_PSE,Pseudosiderastrea,HC,0,1,
MA_RE,Red Macroalgae,MA,0,0,
HS_RM,Reef Matrix with Turf,TA,0,0,
AB_RCK,Rock,AB,0,0,
SS_SA,Sand,SS,0,0,
SAR_SAR,Sarcophyton,SC,0,0,
SAR_SCP,Sclerophytum,SC,0,0,
POC_SER,Seriatopora,HC,1,1,Seriatopora
SI,Sessile Invertebrates,SI,0,0,
SS_SI,Silt,SS,0,0,
SC,Soft Corals,BIO,0,0,
SP,Sponge,SP,0,0,
POC_STY,Stylophora,HC,1,1,Stylophora
SYM,Symphyllia,HC,0,0,
MER_TRA,Trachyphyllia,HC,0,1,
DEN_TUB,Tubastraea,HC,0,1,
TUB_TUB,Tubipora,SC,1,1,Tubipora
DEN_TUR,Turbinaria,HC,1,1,Turbinaria
TA,Turf Algae,TA,0,0,
TA_SD,Turf with Sediment,TA,0,0,
HS_RB,Unconsolidated Rubble with Turf,TA,0,0,
UN,Unknown/Unidentifiable,UN,0,0,
XEN_XEN,Xenia,SC,0,0,
ZOA,Zoantharia (Zoanthids),SI,0,0,
